1	54,397	56,151	57,908	59,670	61,426	63,185
2	56,469	58,207	59,944	61,684	63,424	65,161
3	59,078	60,818	62,557	64,293	66,035	67,773
4	61,690	63,427	65,168	66,906	68,645	70,383
5	64,301	66,039	67,779	69,521	71,259	72,993
6	66,910	68,651	70,392	72,133	73,869	75,607
7	69,525	71,265	72,999	74,742	76,478	78,218
8	72,133	73,873	75,615	77,350	79,094	80,826
9	74,745	76,481	78,224	79,963	81,706	83,440
10	77,354	79,096	80,832	82,570	84,313	86,048
11	77,354	79,096	80,832	83,520	85,523	87,519
12	77,354	79,096	80,832	84,470	86,734	88,990
